ACT_ID,GROUP_NUMBER,OBJECT,AUTH_FIELD,AUTH_VALUES_VON,AUTH_VALUES_BIS,LOGIC_OPERATOR,ACTIVE
ACT0011,1,F_LFA1_GEN,ACTVT,01,,2,1
ACT0011,1,F_LFA1_GEN,ACTVT,05,,2,1
ACT0011,1,F_LFA1_GEN,ACTVT,06,,2,1
ACT0011,1,F_LFA1_GEN,ACTVT,08,,2,1
ACT0011,1,F_LFA1_GEN,ACTVT,02,,2,1
ACT0011,2,F_LFA1_BUK,ACTVT,02,,2,1
ACT0011,2,F_LFA1_BUK,ACTVT,01,,2,1
ACT0011,2,F_LFA1_BUK,ACTVT,05,,2,1
ACT0011,2,F_LFA1_BUK,ACTVT,06,,2,1
ACT0011,3,F_LFA1_APP,ACTVT,01,,2,1
ACT0011,3,F_LFA1_APP,ACTVT,02,,2,1
ACT0011,3,F_LFA1_APP,ACTVT,05,,2,1
ACT0011,3,F_LFA1_APP,ACTVT,06,,2,1
ACT0010,1,M_BEST_BSA,BSART,EC,,1,1
ACT0010,1,M_BEST_BSA,ACTVT,02,,2,1
ACT0010,1,M_BEST_BSA,ACTVT,01,,2,1
ACT0010,2,M_BEST_BSA,BSART,FO,,1,1
ACT0010,2,M_BEST_BSA,ACTVT,01,,2,1
ACT0010,2,M_BEST_BSA,ACTVT,02,,2,1
ACT0010,3,M_BEST_BSA,ACTVT,02,,2,1
ACT0010,3,M_BEST_BSA,BSART,NB,,1,1
ACT0010,3,M_BEST_BSA,ACTVT,01,,2,1
ACT0010,4,M_BEST_EKO,ACTVT,01,,2,1
ACT0010,4,M_BEST_EKO,ACTVT,02,,2,1
ACT0010,5,M_BEST_EKG,ACTVT,01,,2,1
ACT0010,5,M_BEST_EKG,ACTVT,02,,2,1
ACT0010,6,M_BEST_WRK,ACTVT,01,,2,1
ACT0010,6,M_BEST_WRK,ACTVT,02,,2,1
ACT0010,7,B_MASSMAIN,MASSOBJTYP,BUS2012,,2,1
ACT0009,1,M_RAHM_BSA,ACTVT,01,,2,1
ACT0009,1,M_RAHM_BSA,ACTVT,02,,2,1
ACT0009,2,M_RAHM_EKG,ACTVT,01,,2,1
ACT0009,2,M_RAHM_EKG,ACTVT,02,,2,1
ACT0009,3,M_RAHM_EKO,ACTVT,01,,2,1
ACT0009,3,M_RAHM_EKO,ACTVT,02,,2,1
ACT0009,4,M_RAHM_WRK,ACTVT,01,,2,1
ACT0009,4,M_RAHM_WRK,ACTVT,02,,2,1
ACT0009,5,B_MASSMAIN,MASSOBJTYP,BUS2013,,2,1
ACT0008,1,M_BANF_BSA,ACTVT,01,,2,1
ACT0008,1,M_BANF_BSA,ACTVT,02,,2,1
