MANDT,AGR_NAME,COUNTER,PROFILE,VARIANT,GENERATED,PSTATE
001,/SAPTRX/SAP_AS_ADMIN,000001,T_AS_ADM__,,X,
001,MW_ADMIN,000001,C_MW_ADMIN,,X,A
001,SAPI18N,000001,T_Y3670039,,X,A
001,SAP_ACH_ADMIN,000001,T_BE110997,,X,A
001,SAP_ALM_ADMINISTRATOR,000001,T_ALM_CONF,,X,A
001,SAP_ALM_CUSTOMIZER,000001,T_ALM_CUST,,X,A
001,SAP_ALV_ADMIN,000001,S_ALV_ADMI,,X,A
001,SAP_ASAP_AUTORENUMGEBUNG,000001,T_ASAP_AUT,,X,A
001,SAP_BCS_ACTIV,000001,T_BE111071,,X,A
001,SAP_BCS_ADMIN,000001,T_BE111069,,X,A
001,SAP_BCS_CREAT,000001,T_BE111070,,X,A
001,SAP_BCS_VALID,000001,T_BE111072,,X,A
001,SAP_BC_AI_ADMIN,000001,T_BE420014,,X,A
001,SAP_BC_AI_LANDSCAPE_DB_RFC,000001,T_BE111057,,X,A
001,SAP_BC_ALM_ADMIN,000001,T_BE112483,,X,A
001,SAP_BC_ALM_ALERT_USER,000001,T_BE112637,,X,
001,SAP_BC_ALM_CUST,000001,T_BE112353,,X,A
001,SAP_BC_BATCH_ADMIN,000001,T_BA800071,,X,
001,SAP_BC_BATCH_ADMIN_REDWOOD,000001,T_YA670502,,X,A
001,SAP_BC_BDC_ADMIN,000001,T_BA800029,,X,
001,SAP_BC_BGRFC_SUPERVISOR,000001,T_EZ980004,,X,A
001,SAP_BC_BMT_WFM_ADMIN,000001,T_KZ050002,,X,A
001,SAP_BC_BMT_WFM_CONTROLLER,000001,T_BA800117,,X,A
001,SAP_BC_BMT_WFM_DEVELOPER,000001,T_KZ050003,,X,A
001,SAP_BC_BMT_WFM_GP_ADMIN,000001,T_KZ050004,,X,A
001,SAP_BC_BMT_WFM_GP_SERVICE_USER,000001,T_KZ050005,,X,A
001,SAP_BC_BMT_WFM_INB_API_END_USR,000001,T_Y3670135,,X,A
001,SAP_BC_BMT_WFM_INB_API_SRV_USR,000001,T_Y3670138,,X,A
001,SAP_BC_BMT_WFM_NWBC_END_USER,000001,T_BI660265,,X,A
001,SAP_BC_BMT_WFM_PROCESS,000001,T_BA800086,,X,A
001,SAP_BC_BMT_WFM_SERV_USER,000001,T_LA930098,,X,
001,SAP_BC_BMT_WFM_UWL_ADMIN,000001,T_YA670140,,X,A
001,SAP_BC_BMT_WFM_UWL_END_USER,000001,T_YA670141,,X,A
001,SAP_BC_BTC_DISPLAY,000001,T_LA930031,,X,A
001,SAP_BC_BUSINESS_CONTENT,000001,T_YA670098,,X,A
001,SAP_BC_CAT_TESTER,000001,T_BA800087,,X,
001,SAP_BC_CM_ADMINISTRATOR,000001,T_EW350012,,X,A
001,SAP_BC_CM_USER,000001,T_EW350013,,X,A
001,SAP_BC_CSMREG,000001,T_BE112323,,X,A
001,SAP_BC_CST_RFC_VMC_DISPLAY,000001,T_Y2190016,,X,A
001,SAP_BC_CTC,000001,T_BE114305,,X,A
001,SAP_BC_CTS_ADMIN,000001,T_LA930102,,X,
001,SAP_BC_CTS_DISPLAY,000001,T_Y2190017,,X,
001,SAP_BC_CUS_ADMIN,000001,T_BE111061,,X,
001,SAP_BC_CUS_CUSTOMIZER,000001,T_BE111062,,X,
001,SAP_BC_DB_ADMIN_DB6,000001,T_BA800059,,X,
001,SAP_BC_DB_ADMIN_LIVECACHE,000001,T_BE110237,,X,A
001,SAP_BC_DB_ADMIN_MSS,000001,T_BA800045,,X,A
001,SAP_BC_DB_ADMIN_SAPDB,000001,T_BA800057,,X,
001,SAP_BC_DB_ADMIN_SDB,000001,T_BE112107,,X,
001,SAP_BC_DB_SHOW_LIVECACHE,000001,T_BE110246,,X,A
001,SAP_BC_DWB_ABAPDEVELOPER,000001,T_BA800053,,X,
001,SAP_BC_DWB_WBDISPLAY,000001,T_BA800099,,X,
001,SAP_BC_ECATT_TESTER,000001,S_ECR_EXEC,,X,A
001,SAP_BC_ECATT_TEST_DEVELOPER,000001,S_ECDEV___,,X,
001,SAP_BC_ECATT_TEST_FUN,000001,S_ECFUN___,,X,A
001,SAP_BC_EMPLOYEE,000001,T_BA800079,,X,
001,SAP_BC_EPM_BASE,000001,T_Y3670110,,X,
001,SAP_BC_EPM_WEBDYNPRO,000001,T_Y2190185,,X,A
001,SAP_BC_EPM_WEBSERVICE_CONSUMER,000001,T_Y2190184,,X,A
001,SAP_BC_FPADS_ICF,000001,T_YA670211,,X,A
001,SAP_BC_FP_ICF,000001,T_B0960197,,X,A
001,SAP_BC_ILM_CHECKSUM,000001,T_Y2190173,,X,A
001,SAP_BC_ILM_LHM_ADMIN,000001,T_Y3670117,,X,A
001,SAP_BC_ILM_LHM_EXPERT,000001,T_Y3670118,,X,A
001,SAP_BC_LVC_ADMINISTRATOR,000001,T_BE111414,,X,
001,SAP_BC_LVC_OPERATOR,000001,T_BE111415,,X,
001,SAP_BC_LVC_SUPERUSER,000001,T_BE111413,,X,
001,SAP_BC_LVC_USER,000001,T_BE111416,,X,
001,SAP_BC_MID_ALE_ADMIN,000001,T_BA800101,,X,
001,SAP_BC_MID_ALE_IDOC_ADMIN,000001,T_BE111390,,X,
001,SAP_BC_PRN_DISPLAY,000001,T_LA930032,,X,A
001,SAP_BC_REDWOOD_COMMUNICATION,000001,T_YA670504,,X,
001,SAP_BC_REDWOOD_COMM_EXT_SDL,000001,T_YA670503,,X,A
001,SAP_BC_RM_ADMINISTRATOR,000001,T_BA620009,,X,A
001,SAP_BC_RM_USER,000001,T_BA620010,,X,A
001,SAP_BC_SEFS_ADMIN,000001,T_YA670474,,X,A
001,SAP_BC_SEFS_RFC_ENDUSER,000001,T_YA670472,,X,A
001,SAP_BC_SERVICES&SUPPORT,000001,T_BA800035,,X,
001,SAP_BC_SES_ADMIN,000001,T_BE420068,,X,A
001,SAP_BC_SES_RFC_ENDUSER,000001,T_YA670231,,X,A
001,SAP_BC_SIW_ARCHITECT,000001,T_Y3670068,,X,A
001,SAP_BC_SIW_DEV,000001,T_Y3670065,,X,A
001,SAP_BC_SRV_ARL_ADMIN_OLD,000001,T_Y2190041,,X,
001,SAP_BC_SRV_ASF_AT_ADMIN,000001,T_B0960682,,X,A
001,SAP_BC_SRV_ASF_AT_USER,000001,T_B0960681,,X,A
001,SAP_BC_SRV_DX_ADMIN,000001,T_BE111629,,X,A
001,SAP_BC_SRV_DX_MANAGER,000001,T_BE111628,,X,A
001,SAP_BC_SRV_EDI_ADMIN,000001,T_BA800115,,X,
001,SAP_BC_SRV_EDI_DEVELOPER,000001,T_BA800114,,X,
