MANDT,PROFN,AKTPS,MODDA,MODTI,MODBE,DIVIS,TYP,NRAUT
001,&_SAP_ALL_00,A,21.02.2017,18:54:55,DDIC,,G,3742
001,&_SAP_ALL_01,A,16.05.2017,14:09:45,DDIC,,G,3742
001,&_SAP_ALL_02,A,16.05.2017,14:09:45,DDIC,,G,3742
001,&_SAP_ALL_03,A,16.05.2017,14:09:45,DDIC,,G,3742
001,&_SAP_ALL_04,A,16.05.2017,14:09:45,DDIC,,G, 794
001,B_ALE_ALL,A,21.10.1998,14:50:31,SAP,,S, 178
001,B_ALE_GRP_AD,A,25.01.1999,11:10:05,SAP,,S,  24
001,B_ALE_GRP_AL,A,25.01.1999,11:08:22,SAP,,S,  24
001,B_ALE_MO_DIS,A,23.04.1998,10:17:47,SAP,,S,  24
001,B_LSMW_ALL,A,04.04.2001,12:27:53,SAP,,S,  68
001,B_LSMW_CHG,A,04.04.2001,12:26:16,SAP,,S,  68
001,B_LSMW_EXEC,A,04.04.2001,12:27:18,SAP,,S,  68
001,B_LSMW_SHOW,A,04.04.2001,12:24:56,SAP,,S,  68
001,D_MD_DAT_EDI,A,17.08.2000,14:19:10,SAP,,S,  24
001,D_MD_DAT_SHW,A,17.08.2000,14:19:44,SAP,,S,  24
001,D_MD_DEF_EDI,A,17.08.2000,14:17:59,SAP,,S,  24
001,D_MD_DEF_SHW,A,17.08.2000,14:17:17,SAP,,S,  24
001,D_SVAS_DEV,A,24.09.1999,15:47:45,SAP,,S,  46
001,D_SVAS_DISP,A,24.09.1999,15:49:18,SAP,,S,  46
001,D_SVAS_DISPO,A,24.09.1999,15:35:02,SAP,,S,  46
001,D_SVAS_PDISP,A,20.09.1999,12:40:04,SAP,,S,  46
001,D_SVAS_PENGF,A,20.09.1999,13:30:42,SAP,,S,  46
001,D_SVAS_PENGR,A,20.09.1999,13:35:04,SAP,,S,  46
001,D_SVAS_SESS,A,24.09.1999,15:52:13,SAP,,S,  90
001,D_SVAS_SV_WP,A,16.03.2000,14:40:40,SAP,,S,  68
001,D_SVAS_TRANS,A,24.09.1999,15:53:27,SAP,,S,  24
001,P_PLAN_ALL,A,18.08.1997,16:43:25,SAP,,S,  46
001,SAP_ALL,A,23.06.2015,15:16:21,SAP,,C,  62
001,SAP_NEW,A,10.09.2011,08:49:01,SAP,,C, 218
001,SAP_NEW_40C,A,30.04.1998,10:06:02,SAP,,C,  26
001,S_A.CPIC,A,28.07.1997,16:01:06,SAP,,S,  68
001,S_A.CTWFUSER,A,02.07.2001,15:09:17,SAP,,S, 420
001,S_A.CUSTOMIZ,A,03.06.1998,17:40:06,SAP,,S, 904
001,S_A.SCON,A,29.06.1999,16:29:42,SAP,,S,  90
001,S_A.SYSTEM,A,04.08.1998,13:24:59,SAP,,S,1586
001,S_A.TMSADM,A,20.10.2014,14:38:10,SAP,,S, 178
001,S_A.TMSCFG,A,22.04.1999,17:53:56,SAP,,S,  24
