MANDT,PROFN,AKTPS,SUBPROF
001,SAP_ALL,A,&_SAP_ALL_00
001,SAP_ALL,A,&_SAP_ALL_01
001,SAP_ALL,A,&_SAP_ALL_02
001,SAP_ALL,A,&_SAP_ALL_03
001,SAP_ALL,A,&_SAP_ALL_04
001,SAP_NEW,A,SAP_NEW_21C
001,SAP_NEW,A,SAP_NEW_21D
001,SAP_NEW,A,SAP_NEW_22A
001,SAP_NEW,A,SAP_NEW_30A
001,SAP_NEW,A,SAP_NEW_30B
001,SAP_NEW,A,SAP_NEW_30C
001,SAP_NEW,A,SAP_NEW_30D
001,SAP_NEW,A,SAP_NEW_30E
001,SAP_NEW,A,SAP_NEW_30F
001,SAP_NEW,A,SAP_NEW_31G
001,SAP_NEW,A,SAP_NEW_40A
001,SAP_NEW,A,SAP_NEW_45A
001,SAP_NEW,A,S_NEW_7030
001,SAP_NEW,A,S_NEW_7100
001,SAP_NEW,A,S_NEW_7110
001,SAP_NEW,A,S_NEW_7200
001,SAP_NEW,A,S_NEW_7300
001,SAP_NEW,A,S_NEW_7310
001,SAP_NEW_40C,A,SAP_NEW_40CH
001,SAP_NEW_40C,A,SAP_NEW_40CL
001,S_ADM,A,S_ADMI_FCD
001,S_ADM,A,S_ADM_REST
001,S_ADM,A,S_BTCH
001,S_ADM,A,S_SCRP
001,S_ADM,A,S_USER
001,S_ANUEB,A,S_ANUEB_REST
001,S_B20,A,B_ALE_ALL
001,S_B20,A,S_ADDR_ALL
001,S_B20,A,S_AL_ALL
001,S_B20,A,S_AL_ALL_PRI
001,S_B20,A,S_APPL_LOG_A
001,S_B20,A,S_ARCH_ALL
001,S_B20,A,S_DAMO
001,S_B20,A,S_DEVELOP
001,S_B20,A,S_DEVELOP_D
001,S_B20,A,S_IDOC_ALL
001,S_B20,A,S_IMG_ACTIV
001,S_B20,A,S_OC_USER
001,S_B20,A,S_PROJ_ALL
001,S_B20,A,S_PROJ_DIS
001,S_B20,A,S_SCRP_ALL
001,S_B20,A,S_USER_SAP
001,S_B20,A,S_WF_ALL
001,S_B20,A,S_WF_PRC_ALL
001,S_B20,A,S_XPRA_ENTW
001,S_BCDEV,A,S_B20
001,S_BCDEV,A,S_BIN
001,S_BI-WHM_RFC,A,B_ALE_ALL
001,S_BI-WHM_RFC,A,S_BI-WHM_SPC
001,S_BI-WHM_RFC,A,S_BTCH_ADM
001,S_BI-WHM_RFC,A,S_BW_RFC
001,S_BI-WHM_RFC,A,S_IDOC_ALL
001,S_BI-WHM_RFC,A,S_RS_ALL
001,S_BI-WX_RFC,A,B_ALE_ALL
001,S_BI-WX_RFC,A,S_APPL_LOG_A
001,S_BI-WX_RFC,A,S_BTCH_ADM
001,S_BI-WX_RFC,A,S_BW_RFC
001,S_BI-WX_RFC,A,S_IDOC_ALL
001,S_BI-WX_RFC,A,S_RO_OSOAC
001,S_BIN,A,S_ABAP_ALL
001,S_BIN,A,S_ADMI_SAP
001,S_BIN,A,S_ARCH_ALL
001,S_BIN,A,S_BDC_ALL
001,S_BIN,A,S_BTCH_ALL
001,S_BIN,A,S_CALENDAR_A
001,S_BIN,A,S_DOKUFS
001,S_BIN,A,S_FIELDSEL
001,S_BIN,A,S_NUMBER
001,S_BIN,A,S_OC_ADMI
001,S_BIN,A,S_OC_USER
001,S_BIN,A,S_QAP_ICF
001,S_BIN,A,S_QAP_RFC
001,S_BIN,A,S_QIO_ALL
001,S_BIN,A,S_RZL_ADMIN
001,S_BIN,A,S_SCD0_ALL
001,S_BIN,A,S_SCRP_ALL
001,S_BIN,A,S_SPOOL_ALL
001,S_BIN,A,S_TABU_ALL
001,S_BIN,A,S_TCD_ALL
001,S_BIN,A,S_USER_SHOW
001,S_DDIC01,A,S_DDIC_AEW
001,S_DDIC01,A,S_DOMA01
001,S_DDIC01,A,S_DTEL01
001,S_DDIC01,A,S_STRU01
001,S_DDIC01,A,S_TABL01
001,S_DDIC01Z,A,S_DDIC_AEW
001,S_DDIC01Z,A,S_DOMA01Z
001,S_DDIC01Z,A,S_DTEL01Z
001,S_DDIC01Z,A,S_STRU01Z
001,S_DDIC01Z,A,S_TABL01Z
001,S_DDIC02,A,S_DDIC_AEW
001,S_DDIC02,A,S_DOMA02
001,S_DDIC02,A,S_DTEL02
001,S_DDIC02,A,S_STRU02
001,S_DDIC02,A,S_TABL02
001,S_DDIC02Z,A,S_DDIC_AEW
001,S_DDIC02Z,A,S_DOMA02Z
001,S_DDIC02Z,A,S_DTEL02Z
001,S_DDIC02Z,A,S_STRU02Z
001,S_DDIC02Z,A,S_TABL02Z
001,S_DDIC03,A,S_DDIC_AEW
001,S_DDIC03,A,S_DOMA03
001,S_DDIC03,A,S_DTEL03
001,S_DDIC03,A,S_STRU03
001,S_DDIC03,A,S_TABL03
001,S_DDIC03Z,A,S_DDIC_AEW
001,S_DDIC03Z,A,S_DOMA03Z
001,S_DDIC03Z,A,S_DTEL03Z
001,S_DDIC03Z,A,S_STRU03Z
001,S_DDIC03Z,A,S_TABL03Z
001,S_DDIC04,A,S_DDIC_AEW
001,S_DDIC04,A,S_DOMA04
001,S_DDIC04,A,S_DTEL04
001,S_DDIC04,A,S_STRU04
001,S_DDIC04,A,S_TABL04
001,S_DDIC04DB,A,S_DDIC_AEW
001,S_DDIC04DB,A,S_DOMA04
001,S_DDIC04DB,A,S_DTEL04
001,S_DDIC04DB,A,S_STRU04
001,S_DDIC04DB,A,S_TABL04DB
001,S_DDIC04Z,A,S_DDIC_AEW
001,S_DDIC04Z,A,S_DOMA04Z
