MANDT,PROFN,AKTPS,OBJCT,AUTH
001,&_SAP_ALL_00,A,/GC1/AUTH,&_SAP_ALL
001,&_SAP_ALL_00,A,/IWBEP/ADM,&_SAP_ALL
001,&_SAP_ALL_00,A,/IWBEP/DST,&_SAP_ALL
001,&_SAP_ALL_00,A,/IWBEP/MED,&_SAP_ALL
001,&_SAP_ALL_00,A,/IWBEP/MGW,&_SAP_ALL
001,&_SAP_ALL_00,A,/IWBEP/SB,&_SAP_ALL
001,&_SAP_ALL_00,A,/IWBEP/SUB,&_SAP_ALL
001,&_SAP_ALL_00,A,/IWBEP/UMB,&_SAP_ALL
001,&_SAP_ALL_00,A,/IWBEP/URB,&_SAP_ALL
001,&_SAP_ALL_00,A,/IWFND/ADM,&_SAP_ALL
001,&_SAP_ALL_00,A,/IWFND/DST,&_SAP_ALL
001,&_SAP_ALL_00,A,/IWFND/SRV,&_SAP_ALL
001,&_SAP_ALL_00,A,/IWFND/SUB,&_SAP_ALL
001,&_SAP_ALL_00,A,/IWHDB/HAI,&_SAP_ALL
001,&_SAP_ALL_00,A,/SAPPO/ADM,&_SAP_ALL
001,&_SAP_ALL_00,A,/SAPPO/FLT,&_SAP_ALL
001,&_SAP_ALL_00,A,/SAPPO/ORD,&_SAP_ALL
001,&_SAP_ALL_00,A,/SAPPO/WLA,&_SAP_ALL
001,&_SAP_ALL_00,A,/SDF/E2E,&_SAP_ALL
001,&_SAP_ALL_00,A,/SDF/GPDP,&_SAP_ALL
001,&_SAP_ALL_00,A,/SDF/GPREP,&_SAP_ALL
001,&_SAP_ALL_00,A,/SDF/IVAUT,&_SAP_ALL
001,&_SAP_ALL_00,A,/SDF/TRACE,&_SAP_ALL
001,&_SAP_ALL_00,A,/SDF/WSMON,&_SAP_ALL
001,&_SAP_ALL_00,A,/UI2/CHIP,&_SAP_ALL
001,&_SAP_ALL_00,A,/UI2/SRVC,&_SAP_ALL
001,&_SAP_ALL_00,A,/UI5/THEME,&_SAP_ALL
001,&_SAP_ALL_00,A,/UIF/FLEX,&_SAP_ALL
001,&_SAP_ALL_00,A,/UIF/LREP,&_SAP_ALL
001,&_SAP_ALL_00,A,ACO_SUPER,&_SAP_ALL
001,&_SAP_ALL_00,A,AEDELETE,&_SAP_ALL
001,&_SAP_ALL_00,A,AE_DELETE,&_SAP_ALL
001,&_SAP_ALL_00,A,AUDIT_AUTH,&_SAP_ALL
001,&_SAP_ALL_00,A,BO_CA_CES,&_SAP_ALL
001,&_SAP_ALL_00,A,BO_CA_JOB,&_SAP_ALL
001,&_SAP_ALL_00,A,BO_CA_RPT,&_SAP_ALL
001,&_SAP_ALL_00,A,BRF_AUTH,&_SAP_ALL
001,&_SAP_ALL_00,A,BRF_STNDRD,&_SAP_ALL
001,&_SAP_ALL_00,A,BSP_APPL,&_SAP_ALL
001,&_SAP_ALL_00,A,B_ALE_CGRP,&_SAP_ALL
001,&_SAP_ALL_00,A,B_ALE_LSYS,&_SAP_ALL
001,&_SAP_ALL_00,A,B_ALE_MAST,&_SAP_ALL
001,&_SAP_ALL_00,A,B_ALE_MODL,&_SAP_ALL
001,&_SAP_ALL_00,A,B_ALE_RECV,&_SAP_ALL
001,&_SAP_ALL_00,A,B_ALE_REDU,&_SAP_ALL
001,&_SAP_ALL_00,A,B_ASU_ADMI,&_SAP_ALL
001,&_SAP_ALL_00,A,B_BUPA_ATT,&_SAP_ALL
001,&_SAP_ALL_00,A,B_BUPA_CRI,&_SAP_ALL
001,&_SAP_ALL_00,A,B_BUPA_FDG,&_SAP_ALL
001,&_SAP_ALL_00,A,B_BUPA_GRP,&_SAP_ALL
001,&_SAP_ALL_00,A,B_BUPA_PGM,&_SAP_ALL
001,&_SAP_ALL_00,A,B_BUPA_RLT,&_SAP_ALL
001,&_SAP_ALL_00,A,B_BUPA_SLV,&_SAP_ALL
001,&_SAP_ALL_00,A,B_BUPR_BZT,&_SAP_ALL
001,&_SAP_ALL_00,A,B_BUPR_FDG,&_SAP_ALL
001,&_SAP_ALL_00,A,B_BUP_PCPT,&_SAP_ALL
001,&_SAP_ALL_00,A,B_CARD_SEC,&_SAP_ALL
001,&_SAP_ALL_00,A,B_CCARD,&_SAP_ALL
001,&_SAP_ALL_00,A,B_CCSEC,&_SAP_ALL
001,&_SAP_ALL_00,A,B_CLEAR,&_SAP_ALL
001,&_SAP_ALL_00,A,B_LSMW,&_SAP_ALL
001,&_SAP_ALL_00,A,B_LSMW_PRO,&_SAP_ALL
001,&_SAP_ALL_00,A,B_MASSMAIN,&_SAP_ALL
001,&_SAP_ALL_00,A,B_NOTIF_BC,&_SAP_ALL
001,&_SAP_ALL_00,A,B_SMAN_SEQ,&_SAP_ALL
001,&_SAP_ALL_00,A,B_SMAN_WPL,&_SAP_ALL
